Year,Rank,Country,Region,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Generosity,Corruption Perception
2015,1,Switzerland,Western Europe,7.587,1.397,1.350,0.941,0.666,0.297,0.420
2015,2,Iceland,Western Europe,7.561,1.302,1.402,0.948,0.629,0.436,0.141
2015,3,Denmark,Western Europe,7.527,1.325,1.361,0.875,0.649,0.341,0.484
2015,4,Norway,Western Europe,7.522,1.459,1.331,0.885,0.670,0.347,0.365
2015,5,Canada,North America,7.427,1.326,1.323,0.906,0.633,0.458,0.330
2015,6,Finland,Western Europe,7.406,1.290,1.318,0.889,0.642,0.234,0.414
2015,7,Netherlands,Western Europe,7.378,1.329,1.280,0.893,0.616,0.476,0.318
2015,8,Sweden,Western Europe,7.364,1.332,1.289,0.911,0.660,0.363,0.438
2015,9,New Zealand,Australia and New Zealand,7.286,1.250,1.320,0.908,0.639,0.475,0.429
2015,10,Australia,Australia and New Zealand,7.284,1.334,1.309,0.932,0.651,0.436,0.356
2015,11,Israel,Middle East and Northern Africa,7.278,1.229,1.224,0.914,0.413,0.332,0.078
2015,12,Costa Rica,Latin America and Caribbean,7.226,0.956,1.238,0.860,0.634,0.255,0.106
2015,13,Austria,Western Europe,7.200,1.337,1.297,0.890,0.624,0.331,0.187
2015,14,Mexico,Latin America and Caribbean,7.187,1.021,0.915,0.814,0.482,0.141,0.213
2015,15,United States,North America,7.119,1.395,1.247,0.862,0.546,0.401,0.159
2015,16,Brazil,Latin America and Caribbean,6.983,0.981,1.233,0.697,0.490,0.146,0.175
2015,17,Luxembourg,Western Europe,6.946,1.564,1.220,0.919,0.616,0.280,0.378
2015,18,Ireland,Western Europe,6.940,1.336,1.369,0.895,0.618,0.459,0.287
2015,19,Belgium,Western Europe,6.937,1.308,1.286,0.897,0.584,0.222,0.225
2015,20,United Arab Emirates,Middle East and Northern Africa,6.901,1.427,1.126,0.809,0.642,0.264,0.386
2015,21,United Kingdom,Western Europe,6.867,1.266,1.285,0.909,0.596,0.519,0.321
2015,22,Oman,Middle East and Northern Africa,6.853,1.360,1.082,0.763,0.633,0.215,0.325
2015,23,Venezuela,Latin America and Caribbean,6.810,1.044,1.256,0.721,0.429,0.058,0.111
2015,24,Singapore,Southeastern Asia,6.798,1.522,1.020,1.025,0.543,0.311,0.492
2015,25,Panama,Latin America and Caribbean,6.786,1.064,1.198,0.797,0.542,0.244,0.093
2015,26,Germany,Western Europe,6.750,1.328,1.299,0.892,0.615,0.282,0.218
2015,27,Chile,Latin America and Caribbean,6.670,1.107,1.124,0.859,0.441,0.334,0.129
2015,28,Qatar,Middle East and Northern Africa,6.611,1.690,1.079,0.797,0.640,0.326,0.522
2015,29,France,Western Europe,6.575,1.278,1.260,0.946,0.550,0.123,0.206
2015,30,Argentina,Latin America and Caribbean,6.574,1.054,1.248,0.787,0.450,0.115,0.085
2015,31,Czech Republic,Central and Eastern Europe,6.505,1.179,1.206,0.845,0.464,0.107,0.027
2015,32,Uruguay,Latin America and Caribbean,6.485,1.062,1.209,0.812,0.604,0.232,0.246
2015,33,Colombia,Latin America and Caribbean,6.477,0.919,1.240,0.691,0.535,0.184,0.051
2015,34,Thailand,Southeastern Asia,6.455,0.967,1.265,0.738,0.557,0.576,0.032
2015,35,Saudi Arabia,Middle East and Northern Africa,6.411,1.395,1.084,0.720,0.310,0.137,0.325
2015,36,Spain,Western Europe,6.329,1.230,1.314,0.956,0.460,0.182,0.064
2015,37,Malta,Western Europe,6.302,1.207,1.302,0.887,0.604,0.518,0.136
2015,38,Taiwan,Eastern Asia,6.298,1.291,1.076,0.875,0.397,0.254,0.081
2015,39,Kuwait,Middle East and Northern Africa,6.295,1.554,1.166,0.725,0.555,0.162,0.256
2015,40,Suriname,Latin America and Caribbean,6.269,0.995,0.972,0.608,0.597,0.170,0.136
2015,41,Trinidad and Tobago,Latin America and Caribbean,6.168,1.212,1.184,0.615,0.559,0.318,0.011
2015,42,El Salvador,Latin America and Caribbean,6.130,0.765,1.025,0.677,0.404,0.107,0.118
2015,43,Guatemala,Latin America and Caribbean,6.123,0.746,1.044,0.644,0.577,0.275,0.095
2015,44,Uzbekistan,Central and Eastern Europe,6.003,0.632,1.340,0.598,0.658,0.228,0.308
2015,45,Slovakia,Central and Eastern Europe,5.995,1.169,1.270,0.789,0.318,0.169,0.034
2015,46,Japan,Eastern Asia,5.987,1.271,1.257,0.991,0.496,0.107,0.181
2015,47,South Korea,Eastern Asia,5.984,1.245,0.958,0.965,0.332,0.186,0.079
2015,48,Ecuador,Latin America and Caribbean,5.975,0.864,0.999,0.791,0.486,0.115,0.181
2015,49,Bahrain,Middle East and Northern Africa,5.960,1.324,1.216,0.747,0.455,0.174,0.306
2015,50,Italy,Western Europe,5.948,1.251,1.198,0.954,0.262,0.228,0.029
2015,51,Bolivia,Latin America and Caribbean,5.890,0.681,0.978,0.539,0.574,0.205,0.088
2015,52,Moldova,Central and Eastern Europe,5.889,0.594,1.015,0.618,0.328,0.210,0.016
2015,53,Paraguay,Latin America and Caribbean,5.878,0.760,1.305,0.661,0.539,0.342,0.082
2015,54,Kazakhstan,Central and Eastern Europe,5.855,1.123,1.122,0.644,0.516,0.118,0.085
2015,55,Slovenia,Central and Eastern Europe,5.848,1.185,1.274,0.873,0.609,0.253,0.038
2015,56,Lithuania,Central and Eastern Europe,5.833,1.147,1.257,0.731,0.213,0.026,0.010
2015,57,Nicaragua,Latin America and Caribbean,5.828,0.593,1.142,0.743,0.555,0.278,0.193
2015,58,Peru,Latin America and Caribbean,5.824,0.900,0.975,0.730,0.415,0.150,0.060
2015,59,Belarus,Central and Eastern Europe,5.813,1.032,1.233,0.736,0.379,0.110,0.191
2015,60,Poland,Central and Eastern Europe,5.791,1.126,1.279,0.779,0.531,0.168,0.042
2015,61,Malaysia,Southeastern Asia,5.770,1.125,1.070,0.724,0.530,0.331,0.105
2015,62,Croatia,Central and Eastern Europe,5.759,1.083,0.796,0.788,0.259,0.054,0.024
2015,63,Libya,Middle East and Northern Africa,5.754,1.131,1.119,0.704,0.417,0.183,0.110
2015,64,Russia,Central and Eastern Europe,5.716,1.138,1.236,0.669,0.367,0.002,0.030
2015,65,Jamaica,Latin America and Caribbean,5.709,0.810,1.151,0.687,0.504,0.212,0.023
2015,66,North Cyprus,Western Europe,5.695,1.208,1.070,0.924,0.490,0.262,0.143
2015,67,Cyprus,Western Europe,5.689,1.208,0.893,0.924,0.407,0.306,0.061
2015,68,Algeria,Middle East and Northern Africa,5.605,0.939,1.078,0.618,0.286,0.078,0.174
2015,69,Kosovo,Central and Eastern Europe,5.589,0.801,0.812,0.631,0.247,0.283,0.047
2015,70,Turkmenistan,Central and Eastern Europe,5.548,0.958,1.227,0.539,0.476,0.170,0.308
2015,71,Mauritius,Sub-Saharan Africa,5.477,1.008,0.985,0.710,0.561,0.377,0.075
2015,72,Hong Kong,Eastern Asia,5.474,1.386,1.058,1.013,0.596,0.395,0.371
2015,73,Estonia,Central and Eastern Europe,5.429,1.152,1.228,0.774,0.449,0.087,0.152
2015,74,Indonesia,Southeastern Asia,5.399,0.828,1.087,0.638,0.466,0.515,0.000
2015,75,Vietnam,Southeastern Asia,5.360,0.632,0.912,0.747,0.594,0.169,0.104
2015,76,Turkey,Middle East and Northern Africa,5.332,1.061,0.946,0.732,0.228,0.123,0.157
2015,77,Kyrgyzstan,Central and Eastern Europe,5.286,0.474,1.151,0.651,0.435,0.300,0.042
2015,78,Nigeria,Sub-Saharan Africa,5.268,0.654,0.904,0.160,0.343,0.272,0.040
2015,79,Bhutan,Southern Asia,5.253,0.770,1.104,0.574,0.532,0.480,0.154
2015,80,Azerbaijan,Central and Eastern Europe,5.212,1.024,0.938,0.640,0.370,0.078,0.161
2015,81,Pakistan,Southern Asia,5.194,0.595,0.414,0.515,0.121,0.337,0.105
2015,82,Jordan,Middle East and Northern Africa,5.192,0.902,1.054,0.696,0.407,0.111,0.143
2015,82,Montenegro,Central and Eastern Europe,5.192,0.974,0.906,0.725,0.183,0.161,0.143
2015,84,China,Eastern Asia,5.140,0.890,0.947,0.817,0.517,0.082,0.028
2015,85,Zambia,Sub-Saharan Africa,5.129,0.470,0.916,0.299,0.488,0.196,0.125
2015,86,Romania,Central and Eastern Europe,5.124,1.043,0.886,0.769,0.351,0.137,0.006
2015,87,Serbia,Central and Eastern Europe,5.123,0.921,1.010,0.748,0.201,0.192,0.026
2015,88,Portugal,Western Europe,5.102,1.160,1.139,0.875,0.515,0.137,0.011
2015,89,Latvia,Central and Eastern Europe,5.098,1.113,1.096,0.724,0.297,0.182,0.063
2015,90,Philippines,Southeastern Asia,5.073,0.705,1.035,0.581,0.625,0.250,0.123
2015,91,Somaliland region,Sub-Saharan Africa,5.057,0.188,0.952,0.439,0.466,0.503,0.399
2015,92,Morocco,Middle East and Northern Africa,5.013,0.735,0.641,0.610,0.417,0.072,0.085
2015,93,Macedonia,Central and Eastern Europe,5.007,0.919,1.002,0.735,0.335,0.224,0.053
2015,94,Mozambique,Sub-Saharan Africa,4.971,0.083,1.026,0.091,0.340,0.223,0.156
2015,95,Albania,Central and Eastern Europe,4.959,0.879,0.804,0.813,0.357,0.143,0.064
2015,96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.832,0.919,0.791,0.092,0.248,0.002
2015,97,Lesotho,Sub-Saharan Africa,4.898,0.375,1.041,0.076,0.318,0.164,0.125
2015,98,Dominican Republic,Latin America and Caribbean,4.885,0.895,1.172,0.668,0.577,0.217,0.142
2015,99,Laos,Southeastern Asia,4.876,0.591,0.738,0.549,0.596,0.422,0.242
2015,100,Mongolia,Eastern Asia,4.874,0.828,1.301,0.603,0.436,0.332,0.027
2015,101,Swaziland,Sub-Saharan Africa,4.867,0.712,1.073,0.076,0.307,0.183,0.031
2015,102,Greece,Western Europe,4.857,1.154,0.929,0.882,0.077,0.000,0.014
2015,103,Lebanon,Middle East and Northern Africa,4.839,1.026,0.800,0.839,0.339,0.219,0.046
2015,104,Hungary,Central and Eastern Europe,4.800,1.121,1.202,0.759,0.321,0.128,0.028
2015,105,Honduras,Latin America and Caribbean,4.788,0.595,0.953,0.695,0.401,0.230,0.068
2015,106,Tajikistan,Central and Eastern Europe,4.786,0.390,0.856,0.574,0.472,0.230,0.151
2015,107,Tunisia,Middle East and Northern Africa,4.739,0.881,0.604,0.738,0.263,0.064,0.064
2015,108,Palestinian Territories,Middle East and Northern Africa,4.715,0.599,0.926,0.660,0.245,0.113,0.129
2015,109,Bangladesh,Southern Asia,4.694,0.398,0.431,0.602,0.408,0.212,0.126
2015,110,Iran,Middle East and Northern Africa,4.686,1.009,0.544,0.698,0.300,0.381,0.059
2015,111,Ukraine,Central and Eastern Europe,4.681,0.799,1.203,0.674,0.251,0.153,0.030
2015,112,Iraq,Middle East and Northern Africa,4.677,0.985,0.819,0.602,0.000,0.179,0.138
2015,113,South Africa,Sub-Saharan Africa,4.642,0.920,1.185,0.277,0.332,0.120,0.089
2015,114,Ghana,Sub-Saharan Africa,4.633,0.546,0.680,0.401,0.423,0.231,0.044
2015,115,Zimbabwe,Sub-Saharan Africa,4.610,0.271,1.033,0.335,0.259,0.190,0.081
2015,116,Liberia,Sub-Saharan Africa,4.571,0.071,0.790,0.342,0.285,0.244,0.062
2015,117,India,Southern Asia,4.565,0.645,0.382,0.515,0.398,0.265,0.085
2015,118,Sudan,Sub-Saharan Africa,4.550,0.521,1.014,0.369,0.101,0.191,0.147
2015,119,Haiti,Latin America and Caribbean,4.518,0.267,0.743,0.388,0.244,0.462,0.172
2015,120,Congo (Kinshasa),Sub-Saharan Africa,4.517,0.000,1.001,0.098,0.226,0.248,0.076
2015,121,Nepal,Southern Asia,4.514,0.360,0.864,0.569,0.383,0.323,0.059
2015,122,Ethiopia,Sub-Saharan Africa,4.512,0.191,0.604,0.441,0.434,0.243,0.150
2015,123,Sierra Leone,Sub-Saharan Africa,4.507,0.330,0.956,0.000,0.408,0.215,0.088
2015,124,Mauritania,Sub-Saharan Africa,4.436,0.454,0.869,0.359,0.242,0.219,0.175
2015,125,Kenya,Sub-Saharan Africa,4.419,0.365,0.999,0.414,0.422,0.375,0.058
2015,126,Djibouti,Sub-Saharan Africa,4.369,0.440,0.592,0.363,0.461,0.181,0.281
2015,127,Armenia,Central and Eastern Europe,4.350,0.768,0.777,0.730,0.198,0.079,0.039
2015,128,Botswana,Sub-Saharan Africa,4.332,0.994,1.105,0.048,0.495,0.105,0.125
2015,129,Myanmar,Southeastern Asia,4.307,0.271,0.709,0.482,0.440,0.796,0.190
2015,130,Georgia,Central and Eastern Europe,4.297,0.742,0.386,0.729,0.406,0.055,0.383
2015,131,Malawi,Sub-Saharan Africa,4.292,0.016,0.411,0.226,0.431,0.331,0.070
2015,132,Sri Lanka,Southern Asia,4.271,0.835,1.019,0.708,0.537,0.408,0.092
2015,133,Cameroon,Sub-Saharan Africa,4.252,0.422,0.888,0.234,0.493,0.206,0.058
2015,134,Bulgaria,Central and Eastern Europe,4.218,1.012,1.106,0.766,0.306,0.119,0.009
2015,135,Egypt,Middle East and Northern Africa,4.194,0.882,0.747,0.617,0.173,0.113,0.063
2015,136,Yemen,Middle East and Northern Africa,4.077,0.546,0.681,0.401,0.356,0.091,0.079
2015,137,Angola,Sub-Saharan Africa,4.033,0.758,0.860,0.167,0.104,0.123,0.071
2015,138,Mali,Sub-Saharan Africa,3.995,0.261,1.035,0.206,0.389,0.188,0.124
2015,139,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.679,0.663,0.311,0.415,0.124,0.117
2015,140,Comoros,Sub-Saharan Africa,3.956,0.239,0.793,0.363,0.229,0.174,0.199
2015,141,Uganda,Sub-Saharan Africa,3.931,0.211,1.133,0.339,0.457,0.291,0.073
2015,142,Senegal,Sub-Saharan Africa,3.904,0.365,0.976,0.435,0.368,0.208,0.107
2015,143,Gabon,Sub-Saharan Africa,3.896,1.060,0.905,0.434,0.319,0.068,0.111
2015,144,Niger,Sub-Saharan Africa,3.845,0.069,0.773,0.297,0.477,0.194,0.156
2015,145,Cambodia,Southeastern Asia,3.819,0.460,0.627,0.611,0.662,0.404,0.072
2015,146,Tanzania,Sub-Saharan Africa,3.781,0.285,1.003,0.382,0.329,0.344,0.057
2015,147,Madagascar,Sub-Saharan Africa,3.681,0.208,0.668,0.467,0.192,0.213,0.081
2015,148,Central African Republic,Sub-Saharan Africa,3.678,0.078,0.000,0.067,0.489,0.238,0.083
2015,149,Chad,Sub-Saharan Africa,3.667,0.342,0.761,0.150,0.235,0.184,0.053
2015,150,Guinea,Sub-Saharan Africa,3.656,0.174,0.465,0.240,0.377,0.287,0.121
2015,151,Ivory Coast,Sub-Saharan Africa,3.655,0.465,0.771,0.152,0.469,0.202,0.179
2015,152,Burkina Faso,Sub-Saharan Africa,3.587,0.258,0.852,0.271,0.395,0.217,0.128
2015,153,Afghanistan,Southern Asia,3.575,0.320,0.303,0.303,0.234,0.365,0.097
2015,154,Rwanda,Sub-Saharan Africa,3.465,0.222,0.774,0.429,0.592,0.226,0.552
2015,155,Benin,Sub-Saharan Africa,3.340,0.287,0.354,0.319,0.484,0.183,0.080
2015,156,Syria,Middle East and Northern Africa,3.006,0.663,0.475,0.722,0.157,0.472,0.189
2015,157,Burundi,Sub-Saharan Africa,2.905,0.015,0.416,0.224,0.118,0.197,0.101
2015,158,Togo,Sub-Saharan Africa,2.839,0.209,0.140,0.284,0.365,0.167,0.107
2016,1,Denmark,Western Europe,7.526,1.442,1.164,0.795,0.579,0.362,0.445
2016,2,Switzerland,Western Europe,7.509,1.527,1.145,0.863,0.586,0.281,0.412
2016,3,Iceland,Western Europe,7.501,1.427,1.183,0.867,0.566,0.477,0.150
2016,4,Norway,Western Europe,7.498,1.577,1.127,0.796,0.596,0.379,0.358
2016,5,Finland,Western Europe,7.413,1.406,1.135,0.811,0.571,0.255,0.410
2016,6,Canada,North America,7.404,1.440,1.096,0.828,0.574,0.448,0.313
2016,7,Netherlands,Western Europe,7.339,1.465,1.029,0.812,0.552,0.474,0.299
2016,8,New Zealand,Australia and New Zealand,7.334,1.361,1.173,0.831,0.581,0.494,0.419
2016,9,Australia,Australia and New Zealand,7.313,1.444,1.105,0.851,0.568,0.474,0.323
2016,10,Sweden,Western Europe,7.291,1.452,1.088,0.831,0.582,0.383,0.409
2016,11,Israel,Middle East and Northern Africa,7.267,1.338,0.995,0.849,0.364,0.323,0.087
2016,12,Austria,Western Europe,7.119,1.450,1.084,0.806,0.544,0.329,0.213
2016,13,United States,North America,7.104,1.508,1.048,0.779,0.482,0.411,0.149
2016,14,Costa Rica,Latin America and Caribbean,7.087,1.069,1.022,0.761,0.552,0.226,0.105
2016,15,Puerto Rico,Latin America and Caribbean,7.039,1.359,1.081,0.778,0.468,0.222,0.123
2016,16,Germany,Western Europe,6.994,1.448,1.098,0.815,0.535,0.305,0.286
2016,17,Brazil,Latin America and Caribbean,6.952,1.088,1.039,0.614,0.404,0.158,0.142
2016,18,Belgium,Western Europe,6.929,1.425,1.052,0.820,0.514,0.242,0.262
2016,19,Ireland,Western Europe,6.907,1.483,1.162,0.815,0.540,0.450,0.298
2016,20,Luxembourg,Western Europe,6.871,1.698,1.040,0.845,0.549,0.276,0.353
2016,21,Mexico,Latin America and Caribbean,6.778,1.115,0.715,0.711,0.377,0.117,0.184
2016,22,Singapore,Southeastern Asia,6.739,1.646,0.868,0.947,0.488,0.327,0.470
2016,23,United Kingdom,Western Europe,6.725,1.403,1.087,0.810,0.500,0.502,0.274
2016,24,Chile,Latin America and Caribbean,6.705,1.217,0.906,0.819,0.378,0.316,0.115
2016,25,Panama,Latin America and Caribbean,6.701,1.183,0.989,0.708,0.489,0.242,0.084
2016,26,Argentina,Latin America and Caribbean,6.650,1.151,1.066,0.697,0.423,0.110,0.073
2016,27,Czech Republic,Central and Eastern Europe,6.596,1.309,1.008,0.764,0.414,0.099,0.040
2016,28,United Arab Emirates,Middle East and Northern Africa,6.573,1.574,0.871,0.730,0.562,0.266,0.356
2016,29,Uruguay,Latin America and Caribbean,6.545,1.182,1.031,0.722,0.544,0.181,0.214
2016,30,Malta,Western Europe,6.488,1.308,1.099,0.803,0.550,0.562,0.176
2016,31,Colombia,Latin America and Caribbean,6.481,1.030,1.022,0.597,0.447,0.156,0.054
2016,32,France,Western Europe,6.478,1.395,1.005,0.838,0.466,0.122,0.178
2016,33,Thailand,Southeastern Asia,6.474,1.089,1.045,0.649,0.496,0.587,0.028
2016,34,Saudi Arabia,Middle East and Northern Africa,6.379,1.490,0.848,0.593,0.379,0.155,0.300
2016,34,Taiwan,Eastern Asia,6.379,1.397,0.926,0.796,0.324,0.255,0.066
2016,36,Qatar,Middle East and Northern Africa,6.375,1.824,0.880,0.717,0.567,0.324,0.480
2016,37,Spain,Western Europe,6.361,1.343,1.129,0.879,0.375,0.177,0.061
2016,38,Algeria,Middle East and Northern Africa,6.355,1.053,0.833,0.618,0.210,0.070,0.162
2016,39,Guatemala,Latin America and Caribbean,6.324,0.835,0.871,0.540,0.504,0.288,0.087
2016,40,Suriname,Latin America and Caribbean,6.269,1.097,0.779,0.509,0.522,0.167,0.127
2016,41,Kuwait,Middle East and Northern Africa,6.239,1.617,0.878,0.636,0.432,0.160,0.237
2016,42,Bahrain,Middle East and Northern Africa,6.218,1.440,0.944,0.657,0.474,0.171,0.258
2016,43,Trinidad and Tobago,Latin America and Caribbean,6.168,1.326,0.986,0.526,0.485,0.319,0.012
2016,44,Venezuela,Latin America and Caribbean,6.084,1.134,1.033,0.619,0.198,0.042,0.083
2016,45,Slovakia,Central and Eastern Europe,6.078,1.280,1.083,0.704,0.234,0.138,0.029
2016,46,El Salvador,Latin America and Caribbean,6.068,0.874,0.810,0.596,0.373,0.089,0.106
2016,47,Malaysia,Southeastern Asia,6.005,1.251,0.880,0.624,0.390,0.415,0.091
2016,48,Nicaragua,Latin America and Caribbean,5.992,0.694,0.895,0.652,0.466,0.298,0.163
2016,49,Uzbekistan,Central and Eastern Europe,5.987,0.736,1.168,0.502,0.608,0.343,0.283
2016,50,Italy,Western Europe,5.977,1.355,1.042,0.851,0.188,0.167,0.026
2016,51,Ecuador,Latin America and Caribbean,5.976,0.973,0.860,0.686,0.403,0.101,0.180
2016,52,Belize,Latin America and Caribbean,5.956,0.876,0.687,0.456,0.512,0.237,0.108
2016,53,Japan,Eastern Asia,5.921,1.380,1.061,0.915,0.468,0.102,0.190
2016,54,Kazakhstan,Central and Eastern Europe,5.919,1.229,0.955,0.574,0.405,0.150,0.111
2016,55,Moldova,Central and Eastern Europe,5.897,0.692,0.831,0.523,0.252,0.200,0.019
2016,56,Russia,Central and Eastern Europe,5.856,1.232,1.053,0.590,0.327,0.027,0.036
2016,57,Poland,Central and Eastern Europe,5.835,1.246,1.047,0.691,0.452,0.144,0.055
2016,57,South Korea,Eastern Asia,5.835,1.359,0.722,0.886,0.252,0.188,0.077
2016,59,Bolivia,Latin America and Caribbean,5.822,0.794,0.838,0.470,0.510,0.217,0.077
2016,60,Lithuania,Central and Eastern Europe,5.813,1.269,1.064,0.647,0.189,0.020,0.018
2016,61,Belarus,Central and Eastern Europe,5.802,1.131,1.050,0.631,0.291,0.139,0.175
2016,62,North Cyprus,Western Europe,5.771,1.311,0.818,0.841,0.436,0.263,0.166
2016,63,Slovenia,Central and Eastern Europe,5.768,1.299,1.056,0.792,0.532,0.257,0.036
2016,64,Peru,Latin America and Caribbean,5.743,0.996,0.813,0.630,0.375,0.145,0.053
2016,65,Turkmenistan,Central and Eastern Europe,5.658,1.080,1.038,0.440,0.374,0.226,0.285
2016,66,Mauritius,Sub-Saharan Africa,5.648,1.144,0.757,0.662,0.461,0.370,0.052
2016,67,Libya,Middle East and Northern Africa,5.615,1.067,0.951,0.523,0.407,0.171,0.103
2016,68,Latvia,Central and Eastern Europe,5.560,1.218,0.950,0.640,0.280,0.174,0.089
2016,69,Cyprus,Western Europe,5.546,1.319,0.707,0.849,0.295,0.279,0.052
2016,70,Paraguay,Latin America and Caribbean,5.538,0.894,1.111,0.583,0.462,0.253,0.074
2016,71,Romania,Central and Eastern Europe,5.528,1.170,0.728,0.676,0.367,0.129,0.007
2016,72,Estonia,Central and Eastern Europe,5.517,1.280,1.052,0.681,0.415,0.084,0.185
2016,73,Jamaica,Latin America and Caribbean,5.510,0.893,0.964,0.595,0.436,0.222,0.043
2016,74,Croatia,Central and Eastern Europe,5.488,1.186,0.608,0.705,0.239,0.184,0.040
2016,75,Hong Kong,Eastern Asia,5.458,1.511,0.870,0.953,0.481,0.401,0.316
2016,76,Somalia,Sub-Saharan Africa,5.440,0.000,0.336,0.115,0.568,0.272,0.312
2016,77,Kosovo,Central and Eastern Europe,5.401,0.901,0.661,0.540,0.144,0.280,0.065
2016,78,Turkey,Middle East and Northern Africa,5.389,1.165,0.877,0.647,0.239,0.047,0.123
2016,79,Indonesia,Southeastern Asia,5.314,0.951,0.876,0.494,0.392,0.565,0.003
2016,80,Jordan,Middle East and Northern Africa,5.303,0.997,0.862,0.607,0.360,0.143,0.133
2016,81,Azerbaijan,Central and Eastern Europe,5.291,1.124,0.760,0.545,0.353,0.056,0.179
2016,82,Philippines,Southeastern Asia,5.279,0.812,0.879,0.470,0.549,0.217,0.118
2016,83,China,Eastern Asia,5.245,1.028,0.794,0.736,0.440,0.050,0.027
2016,84,Bhutan,Southern Asia,5.196,0.853,0.908,0.498,0.461,0.485,0.162
2016,85,Kyrgyzstan,Central and Eastern Europe,5.185,0.560,0.954,0.554,0.402,0.384,0.048
2016,86,Serbia,Central and Eastern Europe,5.177,1.034,0.813,0.646,0.157,0.207,0.043
2016,87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.934,0.644,0.708,0.095,0.299,0.000
2016,88,Montenegro,Central and Eastern Europe,5.161,1.078,0.742,0.635,0.151,0.172,0.127
2016,89,Dominican Republic,Latin America and Caribbean,5.155,1.028,0.995,0.577,0.523,0.213,0.124
2016,90,Morocco,Middle East and Northern Africa,5.151,0.841,0.386,0.595,0.256,0.041,0.084
2016,91,Hungary,Central and Eastern Europe,5.145,1.241,0.932,0.676,0.198,0.099,0.045
2016,92,Pakistan,Southern Asia,5.132,0.688,0.261,0.403,0.146,0.312,0.139
2016,93,Lebanon,Middle East and Northern Africa,5.129,1.123,0.642,0.762,0.262,0.237,0.031
2016,94,Portugal,Western Europe,5.123,1.276,0.944,0.794,0.447,0.117,0.015
2016,95,Macedonia,Central and Eastern Europe,5.121,1.019,0.782,0.647,0.277,0.235,0.070
2016,96,Vietnam,Southeastern Asia,5.061,0.740,0.791,0.662,0.560,0.251,0.116
2016,97,Somaliland Region,Sub-Saharan Africa,5.057,0.256,0.759,0.331,0.391,0.515,0.368
2016,98,Tunisia,Middle East and Northern Africa,5.045,0.977,0.432,0.596,0.236,0.039,0.082
2016,99,Greece,Western Europe,5.033,1.249,0.755,0.800,0.058,0.000,0.041
2016,100,Tajikistan,Central and Eastern Europe,4.996,0.488,0.756,0.531,0.434,0.260,0.135
